"names.deg.","deg","degree_centrality","closeness_centrality","eigenvector_centrality","betweenness_centrality"
"ARID3A",11831,11831,2.94689691754582e-05,0.764289649030153,13529.1972504155
"ATF1",6534,6534,2.54588966114209e-05,0.472945632751437,9214.93014335136
"ATF2",10232,10232,2.81325606256682e-05,0.698859876371801,9053.54754189521
"ATF3",8503,8503,2.68413141507408e-05,0.592819650022104,6045.46098188388
"BACH1",12518,12518,3.01331886940276e-05,0.73936667238582,6753.54792434248
"BATF",4504,4504,2.41499227202473e-05,0.309217365850582,5923.35845343301
"BCL11A",2760,2760,2.30984223777516e-05,0.211130929525213,1694.33163516467
"BCL3",8693,8693,2.69186249966352e-05,0.602823934944664,6384.0020573987
"BCLAF1",9631,9631,2.76640478034746e-05,0.680965025624374,6394.77734363135
"BDP1",218,218,1.4370706751358e-05,0.0791208796795812,48.223196596112
"BHLHE40",15908,15908,3.34694423990896e-05,0.918754448792459,57303.2687798313
"BRCA1",12627,12627,3.01804792660107e-05,0.814178423531433,8216.28916115519
"BRF1",137,137,1.43533802210421e-05,0.0562524151601598,26.6255730289827
"BRF2",139,139,1.9218984519058e-09,0.0756663915749386,6.61147013995347
"CBX2",1371,1371,2.09507447989776e-05,0.109810837461694,3423.4142043062
"CBX3",12035,12035,2.96322636086171e-05,0.771566203904189,33404.9286343629
"CBX8",1445,1445,2.08372403158926e-05,0.12036697526945,5013.10558582324
"CCNT2",12527,12527,3.00797112347721e-05,0.817239940667592,14017.3366240251
"CEBPB",16404,16404,3.40587854637104e-05,0.902774547183895,52781.2113883977
"CEBPD",10797,10797,2.86196731633325e-05,0.713149399639736,3696.04089491235
"CEBPZ",963,963,2.0755500207555e-05,0.127802823003632,422.952958179221
"CHD1",17588,17588,3.5551763367463e-05,0.920261597267668,17043.103452358
"CHD2",16297,16297,3.39420270178535e-05,0.929317219716288,30716.0131876412
"CHD4",3689,3689,2.36882624659481e-05,0.293600892496825,2474.69336472876
"CHD7",12250,12250,2.98578765078228e-05,0.733727702730205,14911.531068641
"CREB1",13378,13378,3.08775396776385e-05,0.847291686056275,10367.0585050941
"CREBBP",1723,1723,2.24532411253564e-05,0.153180010539587,1742.07515159286
"CTBP2",6250,6250,2.52780586450961e-05,0.397340167208861,4020.17552267378
"CTCF",21671,21671,4.149377593361e-05,0.998748371704829,116639.724616001
"CTCFL",4576,4576,2.42224590640442e-05,0.323768399940988,1909.27276731011
"CUX1",10290,10290,2.81325606256682e-05,0.686875394977834,7721.22901000033
"E2F1",3089,3089,2.34148168961319e-05,0.267022236673873,1709.90808684484
"E2F4",13841,13841,3.13391206242753e-05,0.842207218480389,15411.4697132408
"E2F6",14388,14388,3.18745418034616e-05,0.868978310407492,17962.8439315874
"EBF1",13065,13065,3.05969464247468e-05,0.803433879026943,10484.5021516454
"EGR1",12833,12833,3.03554624654707e-05,0.810357144010286,17544.647400122
"ELF1",14347,14347,3.18522057652492e-05,0.867584284336746,11876.9911461145
"ELK1",12373,12373,2.99643424325053e-05,0.802637243401573,6029.94724005061
"ELK4",6196,6196,2.51477429900666e-05,0.471537564987267,3856.65093868837
"EP300",19157,19157,3.76010528294792e-05,0.972810716600525,36055.8107930385
"ESR1",1849,1849,2.13761997392104e-05,0.128194841738822,1302.00503375709
"ESRRA",1115,1115,2.10863697705803e-05,0.139701701531621,23823.3479765009
"ETS1",12138,12138,2.98178131615827e-05,0.745893182900452,1518.73975247363
"EZH2",20496,20496,3.95741818037912e-05,0.97702447225112,85463.250854424
"FLI1",3093,3093,2.34417121826578e-05,0.243063799283723,2885.32593129102
"FOS",13220,13220,3.07087581378209e-05,0.795036767857988,23629.8364856373
"FOSL1",2727,2727,2.29906198271105e-05,0.227366548810209,3336.00052799164
"FOSL2",9397,9397,2.74167900422219e-05,0.603786154332524,20919.7083187795
"FOXA1",11313,11313,2.90326326791313e-05,0.688688428456551,12581.6329315968
"FOXA2",8870,8870,2.71326242674191e-05,0.549306340488504,5958.11370976112
"FOXM1",9954,9954,2.79306203390777e-05,0.684585203536619,8025.828683226
"FOXP2",11129,11129,2.89192862720148e-05,0.708123318389668,2895.29157709898
"GABPA",13176,13176,3.06852005277854e-05,0.807770490689991,17056.4970311588
"GATA1",9721,9721,2.77932184546971e-05,0.592492859495339,6045.35041539305
"GATA2",7471,7471,2.61123877167328e-05,0.417224221107081,3930.17624381726
"GATA3",10729,10729,2.85689798017313e-05,0.641488399583881,14895.1594107403
"GTF2B",6886,6886,2.57102455328448e-05,0.519617463159904,2688.20753437502
"GTF2F1",14488,14488,3.1985670419652e-05,0.872718936326413,12949.0009186332
"GTF3C2",1576,1576,2.2475950732716e-05,0.17071231616581,763.400651850737
"H2AFZ",20131,20131,3.90091671542813e-05,0.982142131094891,67575.3644913166
"HCFC1",13743,13743,3.12285303853601e-05,0.855635503172205,15885.2186069124
"HDAC1",13978,13978,3.14534645991256e-05,0.818431715255454,25215.6084902121
"HDAC2",17845,17845,3.58179017873133e-05,0.954539816337728,50650.0044818927
"HDAC6",12710,12710,3.02498638756126e-05,0.737654540378386,30487.4733498428
"HMGN3",12818,12818,3.03683683075708e-05,0.816160635113335,6885.93323630475
"HNF4A",4266,4266,2.41231244270758e-05,0.273035150242738,694.878377747267
"HNF4G",4126,4126,2.4077239785231e-05,0.254546287294918,146.494229603502
"HSF1",348,348,1.82053195943855e-05,0.0863333087940291,124.429891495445
"IKZF1",2244,2244,2.26613488034808e-05,0.176203198114841,673.052153409923
"IRF1",11731,11731,2.93815190245336e-05,0.778764739412582,12563.4933502847
"IRF3",4275,4275,2.38657788596931e-05,0.339255599280437,2179.5478870367
"IRF4",4739,4739,2.43025177408379e-05,0.336031210501252,3456.32082757356
"JUN",10795,10795,2.85738777609509e-05,0.685926742939703,22561.7060797073
"JUND",17287,17287,3.50988031308132e-05,0.949321319447612,56131.3852758042
"KAT2A",8287,8287,2.67051220424077e-05,0.575336032816756,13119.5085859988
"KAT2B",4537,4537,2.4247714652894e-05,0.357684088284099,2543.70276236657
"KDM1A",7660,7660,2.61663657534605e-05,0.536529139982315,6560.46317769035
"KDM4A",14861,14861,3.23656018383662e-05,0.879410391426093,17152.2829723678
"KDM5A",13464,13464,3.09501702259362e-05,0.733512913275285,35268.2157468538
"KDM5B",14293,14293,3.17762948840165e-05,0.8251637513449,19151.4770589883
"MAFF",9431,9431,2.74250610207608e-05,0.599016501353531,10098.9526108542
"MAFK",15510,15510,3.3103813559322e-05,0.857587622188725,17897.6866720906
"MAX",18281,18281,3.64006988934188e-05,0.964678459241653,45609.2377969671
"MAZ",16783,16783,3.44851369059935e-05,0.947333836994224,38459.5046171919
"MBD4",6470,6470,2.54368783862844e-05,0.480062992244059,4552.13950722761
"MEF2A",3118,3118,2.33426704014939e-05,0.270611809297084,2548.93480702876
"MEF2C",961,961,2.18832746132131e-05,0.0688367057118294,24.9150203073235
"MTA3",11248,11248,2.89922300823379e-05,0.747620409041797,4760.45426881885
"MXI1",16696,16696,3.44281484541761e-05,0.931784780775308,16226.7604903744
"MYB",699,699,2.20269168924426e-05,0.10825651857875,900.189593973265
"MYBL2",10486,10486,2.83599444145089e-05,0.696688259487905,4199.12260254262
"MYC",18634,18634,3.68432687348022e-05,0.970828742539952,58081.1960854204
"MYOD1",4449,4449,2.41726896951824e-05,0.27875597052845,1157.43455480151
"MYOG",8838,8838,2.71326242674191e-05,0.525226976135955,6264.30345758689
"NANOG",4558,4558,2.43090162141138e-05,0.29467424738504,4287.99709921453
"NCOR1",2151,2151,2.28190676128973e-05,0.211751009168313,2218.6303850076
"NELFE",10030,10030,2.80615108317432e-05,0.624510901503257,769.902853641292
"NFATC1",6888,6888,2.5745327223109e-05,0.487391339219248,1353.59011469154
"NFE2",3546,3546,2.35843494257211e-05,0.278182235287909,3803.75145880707
"NFIC",13108,13108,3.06447658739887e-05,0.805805926067849,12336.0954330313
"NFYA",6929,6929,2.57340641807561e-05,0.504772492814719,4961.36139110788
"NFYB",7889,7889,2.63935810810811e-05,0.540682289137349,7591.52033238318
"NR2C2",1688,1688,2.23758698619409e-05,0.173852047164979,756.604682875498
"NR2F2",10682,10682,2.85274148456667e-05,0.684266271450609,4974.85122872304
"NR3C1",4181,4181,2.40639137549331e-05,0.292612367910496,5037.46983556466
"NRF1",11400,11400,2.90976809148311e-05,0.745349127017148,10810.572666025
"PAX5",12498,12498,3.01050666827227e-05,0.773475658798619,4787.0980712217
"PBX3",9039,9039,2.72308907224355e-05,0.589523568468177,7282.02831630204
"PHF8",15369,15369,3.29044782994966e-05,0.901777720855314,17557.6159278524
"PML",12080,12080,2.97167989064218e-05,0.784458142338553,6670.56543602785
"POLR2A",21615,21615,4.13873023756312e-05,1,146026.229983438
"POLR3A",684,684,2.05638610705546e-05,0.108653831121308,339.008934614863
"POLR3G",168,168,1.92358558569143e-09,0.0808930212946302,10.5857247762119
"POU2F2",10813,10813,2.86278663651198e-05,0.710215817300983,6458.96006650811
"POU5F1",194,194,2.15582287759238e-05,0.0131047540247931,0.263966241410549
"PPARGC1A",80,80,1.42464348296839e-05,0.0372766034569503,1.14205497125356
"PRDM1",1634,1634,2.20921241577378e-05,0.162339440706551,1607.34390324722
"RAD21",16314,16314,3.39789330615019e-05,0.884161365327714,21738.7056206022
"RBBP5",17814,17814,3.57628209713182e-05,0.950203853103146,55810.8940128291
"RCOR1",16635,16635,3.43253355301548e-05,0.937832413939251,33337.4690309722
"RELA",8657,8657,2.69396551724138e-05,0.62707469496028,4877.75716837636
"REST",15656,15656,3.32292151259387e-05,0.89723746617536,36411.4507427577
"RFX5",14333,14333,3.18197728068222e-05,0.87290450652008,15440.3065420853
"RNF2",4225,4225,2.35865745217822e-05,0.29805893311693,3272.96378385503
"RUNX3",12874,12874,3.04201016031394e-05,0.807575261162567,13530.5339946799
"RXRA",4289,4289,2.4121378778011e-05,0.28907588938392,2898.57063030765
"SAP30",16458,16458,3.41227052480721e-05,0.914989955307785,33360.9420076247
"SETDB1",9257,9257,2.73815065304893e-05,0.61451313334072,9782.3942466543
"SIN3A",17038,17038,3.48165169556438e-05,0.944044327890887,24111.9280240796
"SIRT6",8224,8224,2.6629030969563e-05,0.556797465441527,16535.1817441745
"SIX5",7228,7228,2.59282306575399e-05,0.528415722882884,8808.95874605008
"SMARCA4",172,172,1.96893028017878e-05,0.0748616389204558,27.726980508362
"SMARCB1",7022,7022,2.57785110332027e-05,0.504234791442475,1477.26668545752
"SMARCC1",2370,2370,2.23254152527237e-05,0.216270743167465,1419.91806329604
"SMARCC2",873,873,2.12997081939977e-05,0.125654120853127,47126.4199398182
"SMC3",15346,15346,3.2868787799106e-05,0.896826559912141,42830.1796184745
"SP1",14029,14029,3.15109500551442e-05,0.852301234060642,22815.6500009756
"SP2",3875,3875,2.35012103123311e-05,0.315842123386976,3829.19326909851
"SP4",9131,9131,2.72836407290189e-05,0.636472349448595,7769.44641468155
"SPI1",10518,10518,2.83873165469668e-05,0.621992112963773,12133.0524306345
"SREBF1",1721,1721,2.24982001439885e-05,0.182063526675546,846.445687296372
"SREBF2",546,546,1.97925738263004e-05,0.104253282943986,199.98885908789
"SRF",7867,7867,2.63706125893304e-05,0.55587020729359,7034.41118238122
"STAT1",11806,11806,2.94360061226893e-05,0.791255321994235,14269.7512368479
"STAT2",380,380,2.00835475578406e-05,0.0939672388886955,264.512046802034
"STAT3",14063,14063,3.15169088215828e-05,0.815230645333499,50594.7302699397
"STAT5A",10785,10785,2.8604118993135e-05,0.726254842372678,3292.93941173837
"SUPT20H",1212,1212,2.15763695600578e-05,0.134563362163724,1067.39985925481
"SUZ12",9083,9083,2.7216809101301e-05,0.527274632183165,13188.3362527146
"TAF1",15288,15288,3.28277854375944e-05,0.900342726282458,13983.4222580689
"TAF7",8108,8108,2.65491424626985e-05,0.577671392803024,4355.98519101252
"TAL1",10130,10130,2.80914658126861e-05,0.634770581743104,11094.9960555532
"TBL1XR1",13387,13387,3.08908933646361e-05,0.845810378698789,16440.4056025876
"TBP",16612,16612,3.42923768046363e-05,0.94027406122902,35600.6893735576
"TCF12",15527,15527,3.30622231038815e-05,0.90729228073822,23155.4693077153
"TCF3",10675,10675,2.84940874768486e-05,0.695046561211189,20760.3661430464
"TCF7L2",12032,12032,2.96674281306554e-05,0.764818961179063,6292.2041474966
"TEAD4",14090,14090,3.15885902012193e-05,0.833208565042357,13744.5044033927
"TFAP2A",1941,1941,2.18531468531469e-05,0.161879551948909,1412.29919126957
"TFAP2C",2657,2657,2.25779503736651e-05,0.206205022242975,1018.8029426941
"THAP1",4682,4682,2.42553604346561e-05,0.379213535901787,2852.87747352976
"TRIM28",11145,11145,2.89067468347112e-05,0.699855204869398,6458.3669783454
"UBTF",13468,13468,3.09760555090915e-05,0.836520436793399,9829.08196141727
"USF1",12485,12485,3.00435631665916e-05,0.762009182205009,21560.5535397635
"USF2",14374,14374,3.18674314850223e-05,0.851386780776123,13414.3931403341
"WHSC1",5656,5656,2.48515122145183e-05,0.397828382496916,6554.54351017687
"WRNIP1",11485,11485,2.91587694999271e-05,0.760646354220703,10098.013730035
"XRCC4",127,127,1.92088759144457e-09,0.0741756535776235,1.1308558141816
"YY1",15902,15902,3.34851326011251e-05,0.924802246675154,24835.3710300035
"ZBTB33",6672,6672,2.55330014043151e-05,0.461606675066402,5623.08575235489
"ZBTB7A",13292,13292,3.08166409861325e-05,0.81470338398712,11535.7114170472
